,Município,PIB_per_capita,População,Capag_real,Capag_predito
648,Sítio Novo,8476,18001,1,1
649,Sucupira do Norte,7305,10639,1,1
650,Sucupira do Riachão,7258,5645,,1
651,Tasso Fragoso,137687,8459,0,0
652,Timbiras,5776,29064,,1
653,Timon,11120,167973,1,1
654,Trizidela do Vale,12874,21885,,1
655,Tufilândia,8343,5826,,1
656,Tuntum,7528,41621,,1
657,Turiaçu,7178,35497,1,1
658,Turilândia,6267,25365,1,1
659,Tutóia,7013,58311,1,1
660,Urbano Santos,5828,32775,1,1
661,Vargem Grande,5832,55841,,1
662,Viana,7895,52229,1,1
663,Vila Nova dos Martírios,8387,13183,,1
664,Vitória do Mearim,7892,32664,1,1
665,Vitorino Freire,8154,31525,,1
666,Zé Doca,8429,51471,1,1
667,Acauã,7373,7065,1,1
668,Agricolândia,7283,5148,1,1
669,Água Branca,11560,17349,0,0
670,Alagoinha do Piauí,7125,7636,1,1
671,Alegrete do Piauí,7317,4912,1,1
672,Alto Longá,7050,14268,,1
673,Altos,10361,40440,1,1
674,Alvorada do Gurguéia,13122,5392,1,1
675,Amarante,8206,17592,1,1
676,Angical do Piauí,9428,6792,1,1
677,Anísio de Abreu,7870,9818,,1
678,Antônio Almeida,43270,3158,0,0
679,Aroazes,8326,5844,,1
680,Aroeiras do Itaim,8461,2551,1,1
681,Arraial,7846,4735,1,1
682,Assunção do Piauí,7099,7828,1,1
683,Avelino Lopes,7027,11252,1,1
684,Baixa Grande do Ribeiro,82913,11497,1,1
685,Barra D'Alcântara,8423,3950,1,1
686,Barras,8412,46941,1,1
687,Barreiras do Piauí,8197,3344,1,1
688,Barro Duro,9740,7038,1,1
689,Batalha,7161,26806,1,1
690,Bela Vista do Piauí,8804,3999,1,1
691,Belém do Piauí,8233,3544,0,0
692,Beneditinos,7260,10462,1,1
693,Bertolínia,10687,5495,1,1
694,Betânia do Piauí,8500,6200,1,1
