,Município,Região,UF,Reg_Metropolitana,Mun_Reg_Geog_Imediata,Mun_Reg_Geog_Intermediária,Tipo_Conc_Urbana,Hierarquia_Urbana,Hier_Urbana_princ_categ,Região_rural,Amazônia_Legal,Semiárido,Cid_Região_São_Paulo,PIB_per_capita,VAB_Indústria/Total,VAB_Serviço/Total,VAB_Adm/Total,VAB_Agricultura/Total,Capag_real,Capag_predito
120,Pauini,Norte,Amazonas,Não,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Capital Regional,Sim,Não,Não,8119,0.03426612992384582,0.1731580898372213,0.5677551100040971,0.2248076635428928,,1
121,Presidente Figueiredo,Norte,Amazonas,Sim,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Metrópole,Sim,Não,Não,23264,0.4063620813331126,0.1900234759446811,0.2755840142862159,0.1280291743791164,1,1
122,Rio Preto da Eva,Norte,Amazonas,Sim,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Metrópole,Sim,Não,Não,11769,0.1024582114956575,0.190857809976869,0.3448069872997861,0.3618742635185266,1,1
123,Santa Isabel do Rio Negro,Norte,Amazonas,Não,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Metrópole,Sim,Não,Não,5628,0.02840263913730787,0.1452490333306121,0.7114315612916633,0.1149019229484715,1,1
124,Santo Antônio do Içá,Norte,Amazonas,Não,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Centro Sub-regional,Sim,Não,Não,8252,0.03404765421718233,0.1692213296367417,0.5895306161869809,0.2071890374848027,1,1
125,São Gabriel da Cachoeira,Norte,Amazonas,Não,Polo,do Entorno,,Centro Local,Centro Local,Região Rural de Metrópole,Sim,Não,Não,7344,0.04734133351268083,0.2987544956972614,0.6175863029755672,0.03631146254679848,1,1
126,São Paulo de Olivença,Norte,Amazonas,Não,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Centro Sub-regional,Sim,Não,Não,6519,0.03940274250888776,0.1661432199085831,0.6874393092940579,0.1070106653123413,1,1
127,São Sebastião do Uatumã,Norte,Amazonas,Não,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Metrópole,Sim,Não,Não,8561,0.04564544553847773,0.1898766363006672,0.5042480250409898,0.2602211252663236,0,1
128,Silves,Norte,Amazonas,Sim,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Metrópole,Sim,Não,Não,11130,0.03715023502592346,0.1586778026589199,0.4422219532369021,0.3619298351792451,0,0
129,Tabatinga,Norte,Amazonas,Não,Polo,do Entorno,,Centro de Zona A,Centro de Zona,Região Rural de Centro Sub-regional,Sim,Não,Não,8274,0.05478446590259604,0.3437656047889781,0.5443552025990434,0.0570907158399262,0,0
130,Tapauá,Norte,Amazonas,Não,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Centro de zona,Sim,Não,Não,14307,0.03189145356551939,0.1332052815228609,0.3648207001621808,0.4700825647494389,1,1
131,Tefé,Norte,Amazonas,Não,Polo,Polo,,Centro Subregional B,Centro Subregional,Região Rural de Centro Sub-regional,Sim,Não,Não,15530,0.2392165908988612,0.2722768600621146,0.3098764459648017,0.1786278525453482,1,1
132,Tonantins,Norte,Amazonas,Não,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Centro Sub-regional,Sim,Não,Não,7191,0.03752299390136857,0.1688229412348393,0.6566981902559288,0.1369482417775335,,1
133,Uarini,Norte,Amazonas,Não,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Centro Sub-regional,Sim,Não,Não,14026,0.03779952011044033,0.1780631306767758,0.3474049807715485,0.4367268902499151,1,1
134,Urucará,Norte,Amazonas,Não,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Metrópole,Sim,Não,Não,20171,0.02356186143015019,0.1148355995283934,0.2400976459687176,0.6214987363281791,1,1
135,Urucurituba,Norte,Amazonas,Não,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Metrópole,Sim,Não,Não,7381,0.0452361318643164,0.222937992522646,0.5857632667232945,0.1460564087620205,1,1
136,Amajari,Norte,Roraima,Não,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Metrópole,Sim,Não,Não,13690,0.02641401262473947,0.08652783832689356,0.6944621944592084,0.192578038686406,,1
137,Alto Alegre,Norte,Roraima,Sim,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Metrópole,Sim,Não,Não,17912,0.04104297790773936,0.1239587070030691,0.5443747531515079,0.2906199384735795,1,1
138,Boa Vista,Norte,Roraima,Sim,Polo,Polo,Média concentração urbana,Capital Regional C,Capital Regional,Região Rural de Capital Regional,Sim,Não,Não,26752,0.1301189219819525,0.4519946804129599,0.4074324865994507,0.01045369136950814,1,1
139,Bonfim,Norte,Roraima,Sim,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Capital Regional,Sim,Não,Não,22953,0.0482081233665911,0.1214642563206607,0.439291335171896,0.3910326753974327,1,1
140,Cantá,Norte,Roraima,Sim,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Capital Regional,Sim,Não,Não,15025,0.07342710587480965,0.1145387513023964,0.6930672437284604,0.1189628917207662,1,1
141,Caracaraí,Norte,Roraima,Sim,Polo,do Entorno,,Centro Local,Centro Local,Região Rural de Metrópole,Sim,Não,Não,16093,0.05502416949501183,0.1823511261956186,0.6535473800751402,0.1090712742980562,1,1
142,Caroebe,Norte,Roraima,Sim,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Metrópole,Sim,Não,Não,17928,0.04896666111879523,0.1365465074236259,0.5519137286861301,0.2625673635941024,1,1
143,Iracema,Norte,Roraima,Sim,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Metrópole,Sim,Não,Não,13783,0.03111760409057706,0.1161812811636548,0.7066852986946994,0.1460031123955918,,1
144,Mucajaí,Norte,Roraima,Sim,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Metrópole,Sim,Não,Não,17661,0.07482340387939845,0.2029738128479524,0.5806556661458568,0.1415401883922911,1,1
145,Normandia,Norte,Roraima,Não,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Capital Regional,Sim,Não,Não,13897,0.03051763591888266,0.09874667929193298,0.7186669822983245,0.1520621268313212,,1
146,Pacaraima,Norte,Roraima,Não,Polo,do Entorno,,Centro Local,Centro Local,Região Rural de Capital Regional,Sim,Não,Não,13123,0.03837396230051067,0.1838065631798612,0.7418949140680863,0.03591441800082154,,1
147,Rorainópolis,Norte,Roraima,Sim,Polo,do Entorno,,Centro Local,Centro Local,Região Rural de Metrópole,Sim,Não,Não,18536,0.07322260849248519,0.2378939184589293,0.5734099249525666,0.1154695197850493,1,1
148,São João da Baliza,Norte,Roraima,Sim,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Metrópole,Sim,Não,Não,22072,0.08456168586887541,0.2243877864792898,0.5174717200860992,0.1735722650755331,1,1
149,São Luiz,Norte,Roraima,Sim,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Metrópole,Sim,Não,Não,17693,0.05412043831699657,0.1446963187151624,0.5691048873409732,0.2320631468483609,0,1
150,Uiramutã,Norte,Roraima,Não,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Capital Regional,Sim,Não,Não,10754,0.01252497729336966,0.05954586739327884,0.8830971843778384,0.04482288828337875,1,1
151,Abaetetuba,Norte,Pará,Não,Polo,do Entorno,Média concentração urbana,Centro Subregional B,Centro Subregional,Região Rural de Metrópole,Sim,Não,Não,9046,0.05027694897158877,0.4010708337183559,0.4262387099286951,0.1224119800190462,1,1
152,Abel Figueiredo,Norte,Pará,Não,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Capital Regional,Sim,Não,Não,11136,0.09042573935651609,0.3032434189145272,0.4047578810529737,0.2015469613259669,,1
153,Acará,Norte,Pará,Não,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Metrópole,Sim,Não,Não,16467,0.04593248911186829,0.1341531850579955,0.2663266081792898,0.5535865997728472,,1
154,Afuá,Norte,Pará,Não,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Metrópole,Sim,Não,Não,9207,0.04875360571748396,0.1450266213171453,0.4887501614500366,0.3174667412924614,1,1
155,Água Azul do Norte,Norte,Pará,Não,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Capital Regional,Sim,Não,Não,15529,0.2181203519543411,0.1388873875821515,0.2532914648910412,0.3896953908682117,1,1
156,Alenquer,Norte,Pará,Não,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Centro de zona,Sim,Não,Não,10034,0.03882882817384729,0.2235161327846684,0.4003642417809315,0.3372871621130386,,1
157,Almeirim,Norte,Pará,Não,Polo,do Entorno,,Centro de Zona A,Centro de Zona,Região Rural de Centro de zona,Sim,Não,Não,17327,0.3087889092335862,0.2664715114400455,0.3045575541228785,0.1201781785170254,,1
158,Altamira,Norte,Pará,Não,Polo,Polo,,Centro Subregional B,Centro Subregional,Região Rural de Capital Regional,Sim,Não,Não,24049,0.2785823329958701,0.46226156615083,0.165144868148291,0.0940108309630558,,0
159,Anajás,Norte,Pará,Não,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Metrópole,Sim,Não,Não,7166,0.04703640405934754,0.1801852215954063,0.5995503057618334,0.1732230271681867,,1
160,Ananindeua,Norte,Pará,Sim,do Entorno,do Entorno,Grande concentração urbana,Integrante de Metrópole,Metrópole,Região Rural de Metrópole,Sim,Não,Não,14314,0.1529918329486325,0.5956598959928994,0.2498274982749827,0.001520469750152047,0,0
161,Anapu,Norte,Pará,Não,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Capital Regional,Sim,Não,Não,13582,0.05744165830042938,0.3282033420069018,0.3311625020854615,0.2831895706437271,,1
162,Augusto Corrêa,Norte,Pará,Não,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Metrópole,Sim,Não,Não,6719,0.03778234224300511,0.18925124467588,0.6287117562620391,0.1442479333842073,,1
163,Aurora do Pará,Norte,Pará,Não,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Metrópole,Sim,Não,Não,8442,0.05103780285691737,0.1699629074264068,0.4912832452055876,0.2877081524741536,,1
164,Aveiro,Norte,Pará,Não,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Capital Regional,Sim,Não,Não,7212,0.0287478377035984,0.1106924486615171,0.5629164026238718,0.2976347474609074,,1
165,Bagre,Norte,Pará,Não,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Metrópole,Sim,Não,Não,6929,0.03155298312452683,0.1222165237990573,0.5299142794343908,0.3163064449165995,,1
166,Baião,Norte,Pará,Não,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Metrópole,Sim,Não,Não,7471,0.03081769012383323,0.1902170856116024,0.5449580068266661,0.234004257044995,,1
167,Bannach,Norte,Pará,Não,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Capital Regional,Sim,Não,Não,23608,0.02204889558891001,0.12391689060759,0.2450809464508095,0.6089270498787441,,1
168,Barcarena,Norte,Pará,Não,do Entorno,do Entorno,,Integrante de Metrópole,Metrópole,Região Rural de Metrópole,Sim,Não,Não,38739,0.5207056373534635,0.3090177342415282,0.1464977549729009,0.02377832294425127,0,0
169,Belém,Norte,Pará,Sim,Polo,Polo,Grande concentração urbana,Núcleo de Metrópole,Metrópole,Região Rural de Metrópole,Sim,Não,Não,21191,0.1423784859074762,0.6701247375109634,0.184905260275062,0.002591478933530982,1,1
170,Belterra,Norte,Pará,Sim,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Capital Regional,Sim,Não,Não,9032,0.05667098656489942,0.2174558621453179,0.4893750040702559,0.2364851224007346,1,1
171,Benevides,Norte,Pará,Sim,do Entorno,do Entorno,Grande concentração urbana,Integrante de Metrópole,Metrópole,Região Rural de Metrópole,Sim,Não,Não,25772,0.3552777583358171,0.4644394306030791,0.1774265467434104,0.002855477901306316,,0
172,Bom Jesus do Tocantins,Norte,Pará,Não,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Capital Regional,Sim,Não,Não,10451,0.1073462735220033,0.229971847681138,0.3765713439028004,0.2860986812861165,,1
173,Bonito,Norte,Pará,Não,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Metrópole,Sim,Não,Não,9464,0.2677193381044341,0.1792873641561589,0.4083910787988943,0.1445870725888901,,1
174,Bragança,Norte,Pará,Não,Polo,do Entorno,Média concentração urbana,Centro Subregional B,Centro Subregional,Região Rural de Metrópole,Sim,Não,Não,8920,0.06953089476197302,0.3906881418906412,0.4001695412419038,0.139609523547342,,1
175,Brasil Novo,Norte,Pará,Não,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Capital Regional,Sim,Não,Não,16581,0.04748527108345196,0.2907108093240446,0.2751315419275459,0.3866681784015084,,1
176,Brejo Grande do Araguaia,Norte,Pará,Não,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Capital Regional,Sim,Não,Não,10576,0.04278468476908047,0.2370354509321093,0.4081206589671186,0.3120324398110354,1,1
177,Breu Branco,Norte,Pará,Não,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Capital Regional,Sim,Não,Não,8800,0.1144238378364914,0.2548031876265824,0.4597628249468761,0.1710101495900501,1,1
178,Breves,Norte,Pará,Não,Polo,Polo,,Centro Subregional B,Centro Subregional,Região Rural de Metrópole,Sim,Não,Não,7986,0.04762962771591702,0.3102914201565608,0.580515152298034,0.06156250807347508,,1
179,Bujaru,Norte,Pará,Não,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Metrópole,Sim,Não,Não,15721,0.04599791458779473,0.1314706640804565,0.2566626677579577,0.5658642688163604,,1
180,Cachoeira do Piriá,Norte,Pará,Não,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Metrópole,Sim,Não,Não,5408,0.03021848970566332,0.1483484378043331,0.6386441493566756,0.1827831945096871,1,1
181,Cachoeira do Arari,Norte,Pará,Não,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Metrópole,Sim,Não,Não,7811,0.03224833732598462,0.1526309617543095,0.4878852350080132,0.3272298817840171,,1
182,Cametá,Norte,Pará,Não,Polo,do Entorno,Média concentração urbana,Centro Subregional B,Centro Subregional,Região Rural de Metrópole,Sim,Não,Não,8333,0.03388296453791889,0.2448863657120729,0.4598097022967972,0.2614200541411396,,1
183,Canaã dos Carajás,Norte,Pará,Não,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Capital Regional,Sim,Não,Não,197137,0.7815563009056857,0.1699379496739708,0.03909169093682297,0.009413913867662896,,0
184,Capanema,Norte,Pará,Não,Polo,do Entorno,,Centro Subregional B,Centro Subregional,Região Rural de Metrópole,Sim,Não,Não,14974,0.1219024473295032,0.5677975814914099,0.2682370169576021,0.04206072866835141,1,1
185,Capitão Poço,Norte,Pará,Não,Polo,do Entorno,,Centro de Zona B,Centro de Zona,Região Rural de Metrópole,Sim,Não,Não,9217,0.06004686277430141,0.3020236579395063,0.4047420764362475,0.2331832074359518,,1
186,Castanhal,Norte,Pará,Sim,Polo,Polo,Média concentração urbana,Centro Subregional A,Centro Subregional,Região Rural de Metrópole,Sim,Não,Não,19728,0.1616864562334964,0.5707116008180773,0.2293721954963824,0.03822944796557343,,1
187,Chaves,Norte,Pará,Não,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Metrópole,Sim,Não,Não,7983,0.02491504387367417,0.08110803384153446,0.5287008080994217,0.3652652744882308,,1
188,Colares,Norte,Pará,Não,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Metrópole,Sim,Não,Não,6718,0.03501334986776671,0.2072582788161008,0.5871537575765244,0.170574613739608,,1
189,Conceição do Araguaia,Norte,Pará,Não,do Entorno,do Entorno,,Centro de Zona A,Centro de Zona,Região Rural de Capital Regional,Sim,Não,Não,11577,0.08709447925383987,0.4180805465673929,0.3432077908587936,0.1516152234541068,1,1
190,Concórdia do Pará,Norte,Pará,Não,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Metrópole,Sim,Não,Não,8940,0.0494915520516446,0.2603867632146479,0.5300962623362897,0.1600218518359827,,1
191,Cumaru do Norte,Norte,Pará,Não,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Capital Regional,Sim,Não,Não,21930,0.1021784926690762,0.1041265949426842,0.2074077205442004,0.5862801462661961,0,0
192,Curionópolis,Norte,Pará,Não,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Capital Regional,Sim,Não,Não,45532,0.6301291157221856,0.1902579777789052,0.1085333062756836,0.07107706356856577,,1
193,Curralinho,Norte,Pará,Não,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Metrópole,Sim,Não,Não,14591,0.03796541175360234,0.1192656409330496,0.2482934645900314,0.5944713792417177,,1
194,Curuá,Norte,Pará,Não,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Centro de zona,Sim,Não,Não,8770,0.03715588027184018,0.1667818531865528,0.5309522634151158,0.265101775517928,,1
195,Curuçá,Norte,Pará,Não,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Metrópole,Sim,Não,Não,7355,0.03544860094628838,0.2156119863195761,0.4953376690117134,0.2536017437224221,,1
196,Dom Eliseu,Norte,Pará,Não,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Metrópole,Sim,Não,Não,11626,0.07162429484349073,0.4004332558106172,0.3454792673226608,0.1824599939745881,,1
197,Eldorado do Carajás,Norte,Pará,Não,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Capital Regional,Sim,Não,Não,11216,0.09704803221377392,0.3096739393799541,0.362699172733671,0.2305730867302789,,1
198,Faro,Norte,Pará,Não,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Centro de zona,Sim,Não,Não,7505,0.04883607966222023,0.2265441094047753,0.6137391174382543,0.1108433284758809,,1
199,Floresta do Araguaia,Norte,Pará,Não,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Capital Regional,Sim,Não,Não,16942,0.04850876633339106,0.1867589022867507,0.2471920694379885,0.5175341858140644,,0
200,Garrafão do Norte,Norte,Pará,Não,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Centro Sub-regional,Sim,Não,Não,8407,0.04106426979842376,0.2151622643998172,0.5243290606141975,0.2194349835356633,,1
201,Goianésia do Pará,Norte,Pará,Não,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Metrópole,Sim,Não,Não,8517,0.05879787387590916,0.2976165822617994,0.4723879988202145,0.1711944073146701,1,1
202,Gurupá,Norte,Pará,Não,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Metrópole,Sim,Não,Não,8176,0.03280789342202118,0.1940478960155305,0.5975636267940029,0.1755805837684454,,1
203,Igarapé-Açu,Norte,Pará,Não,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Metrópole,Sim,Não,Não,9202,0.06358703753391169,0.2900515755895418,0.3916286557552991,0.2547267686253465,,1
